Character ,Nikud,Nikud Name,Frequency
א,,,400.01
א,ִ,חיריק,401
א,ְ,שוא,402
א,ֵ,צירי,403
א,ֱ,חטף סגול,404
א,ֶ,סגול,405
א,ֻ,קובוץ,406
א,ּ,שורוק,407
א,ַ,פתח,408
א,ֲ,חטף פתח,409
א,ָ,קמץ,410
א,ֳ,חטף קמץ,411
א,ֹ,חולם,412
ב,,,413
ב,ִ,חיריק,414
ב,ְ,שוא,415
ב,ֵ,צירי,416
ב,ֱ,חטף סגול,417
ב,ֶ,סגול,418
ב,ֻ,קובוץ,419
בּ,,שורוק,420
ב,ַ,פתח,421
ב,ֲ,חטף פתח,422
ב,ָ,קמץ,423
ב,ֳ,חטף קמץ,424
ב,ֹ,חולם,425
ג,,,426
ג,ִ,חיריק,427
ג,ְ,שוא,428
ג,ֵ,צירי,429
ג,ֱ,חטף סגול,430
ג,ֶ,סגול,431
ג,ֻ,קובוץ,432
גּ,,שורוק,433
ג,ַ,פתח,434
ג,ֲ,חטף פתח,435
ג,ָ,קמץ,436
ג,ֳ,חטף קמץ,437
ג,ֹ,חולם,438
ד,,,439
ד,ִ,חיריק,440
ד,ְ,שוא,441
ד,ֵ,צירי,442
ד,ֱ,חטף סגול,443
ד,ֶ,סגול,444
ד,ֻ,קובוץ,445
דּ,,שורוק,446
ד,ַ,פתח,447
ד,ֲ,חטף פתח,448
ד,ָ,קמץ,449
ד,ֳ,חטף קמץ,450
ד,ֹ,חולם,451
ה,,,452
ה,ִ,חיריק,453
ה,ְ,שוא,454
ה,ֵ,צירי,455
ה,ֱ,חטף סגול,456
ה,ֶ,סגול,457
ה,ֻ,קובוץ,458
הּ,,שורוק,459
ה,ַ,פתח,460
ה,ֲ,חטף פתח,461
ה,ָ,קמץ,462
ה,ֳ,חטף קמץ,463
ה,ֹ,חולם,464
ו,,,465
ו,ִ,חיריק,466
ו,ְ,שוא,467
ו,ֵ,צירי,468
ו,ֱ,חטף סגול,469
ו,ֶ,סגול,470
ו,ֻ,קובוץ,471
וּ,,שורוק,472
ו,ַ,פתח,473
ו,ֲ,חטף פתח,474
ו,ָ,קמץ,475
ו,ֳ,חטף קמץ,476
